SI,ADM2_EN,Division,Region,FC,TD,Days,Cases,Deaths,NMC,MC,NMD,MD,Latitude,Longitude,PopSize,Male,Female,MFR,Rural,Urban,URR,CFR,Area,PD,Dist,Conc,IR
38,Bagerhat,Khulna,South,1/3/2023,12/31/2023,362,0,2,1720,,2,,22.46687823,89.73534562,1613079,801716,810581,98.91,1227292,385095,31.37761837,0.11627907,3959.1,407.4357809,213.4,Yes,1.1
28,Bandarban,Chittagong,South,1/6/2023,12/31/2023,359,0,0,739,,,,21.92648806,92.32470587,481109,246590,234035,105.36,286376,194266,67.83599184,0,4479,107.4143782,326.3,Yes,1.5
74,Barguna,Barisal,South,1/1/2023,12/31/2023,364,0,7,4592,,7,,22.16628701,90.12914226,1010530,494625,515608,95.93,779534,230795,29.60679072,0.152439024,1831.3,551.8101895,261.6,Yes,4.5
34,Brahamanbaria,Chittagong,South,6/22/2023,12/31/2023,192,0,0,1433,,,,24.02267085,91.16469476,3306559,1537743,1767766,86.99,2623975,681736,25.98104022,0,1881.2,1757.686051,97.1,Yes,0.4
31,Chandpur,Chittagong,South,1/10/2023,12/31/2023,355,0,1,5536,,1,,23.27964405,90.74784436,2635748,1228774,1405682,87.41,1944022,690566,35.52254038,0.018063584,1645.3,1601.986264,110.3,Yes,2.1
45,Chuadanga,Khulna,South,7/25/2023,12/31/2023,159,0,0,877,,,,23.6447781,88.8545414,1234066,607558,626245,97.02,933130,300766,32.23195053,0,1174.1,1051.074014,233.2,Yes,0.7
25,Cox's Bazar,Chittagong,South,1/1/2023,12/31/2023,364,0,6,4659,,6,,21.60239155,92.05116146,2823265,1432864,1388086,103.23,1591390,1229733,77.27414399,0.128783001,2491.9,1132.976845,397.6,Yes,1.7
2,Faridpur,Dhaka,Both,6/18/2023,12/31/2023,196,0,138,3797,3705,9,129,23.51258722,89.82561054,2162876,1050193,1112061,94.44,1647141,515264,31.28232495,1.839509464,2052.9,1053.571046,119.5,Yes,3.5
29,Feni,Chittagong,South,1/4/2023,12/31/2023,361,0,1,2228,,1,,23.01547278,91.3994884,1648896,780065,868124,89.86,1159283,488990,42.18038218,0.044883303,990.4,1664.878837,161.1,Yes,1.4
4,Gazipur,Dhaka,Both,1/2/2023,12/31/2023,363,0,2,3452,3800,0,2,24.1151393,90.46615211,5263474,2734086,2524805,108.29,1878718,3380772,179.9510091,0.027578599,1806.4,2913.792073,25.5,Yes,1.4
6,Gopalganj,Dhaka,Both,7/12/2023,12/31/2023,172,0,0,3156,,,,23.10125921,89.86856759,1295053,634105,660770,95.96,1035843,259097,25.01315354,0,1468.7,881.7682304,162.5,Yes,2.4
79,Habiganj,Sylhet,North,7/11/2023,12/31/2023,173,0,0,493,,,,24.42255205,91.43668064,2358886,1143541,1214429,94.16,2003676,354483,17.69163278,0,2636.6,894.6696503,153.3,Yes,0.2
75,Jhalokati,Barisal,South,7/9/2023,12/31/2023,175,0,1,1053,,1,,22.60584835,90.19953565,661161,316521,344424,91.9,476897,184088,38.60120739,0.094966762,706.8,935.4286927,202.1,Yes,1.6
41,Jhenaidah,Khulna,South,1/3/2023,12/31/2023,362,0,11,4194,,11,,23.53648447,89.1252056,2005849,995544,1009712,98.6,1582439,422965,26.72867643,0.262279447,1964.8,1020.892203,196,Yes,2.1
52,Joypurhat,Rajshahi,North,7/9/2023,12/31/2023,175,0,0,264,,,,25.11889114,89.11276731,956430,472531,483563,97.72,732063,224125,30.61553446,0,1012.4,944.7155275,249.2,Yes,0.3
7,Kishoreganj,Dhaka,Both,2/7/2023,12/31/2023,327,0,0,663,886,,,24.38865044,90.94694876,3267630,1572370,1694057,92.82,2371337,895315,37.7557049,0,2688.6,1215.364874,114.8,Yes,0.5
61,Kurigram,Rangpur,North,7/6/2023,12/31/2023,178,0,0,708,,,,25.72442406,89.69134297,2329161,1145222,1182688,96.83,1822174,505827,27.75953339,0,2245,1037.488196,335.8,Yes,0.3
44,Kushtia,Khulna,South,1/31/2023,12/31/2023,334,0,29,4556,,29,,23.91680614,88.98958626,2149692,1055681,1093549,96.54,1692526,456828,26.99089999,0.636523266,1608.8,1336.208354,211.5,Yes,2.1
32,Lakshmipur,Chittagong,South,1/4/2023,12/31/2023,361,0,0,6950,,,,22.9454033,90.8341624,1938111,912932,1024669,89.1,1455360,482359,33.14362082,0,1440.4,1345.536656,139.2,Yes,3.6
60,Lalmonirhat,Rangpur,North,7/3/2023,12/31/2023,181,0,0,305,,,,26.0292028,89.21350701,1428406,714203,713566,100.09,1136333,291502,25.6528676,0,1247.4,1145.106622,328.2,Yes,0.2
9,Madaripur,Dhaka,Both,1/2/2023,12/31/2023,363,0,6,5386,,6,,23.2342676,90.15498908,1293027,615579,677043,90.92,977458,315243,32.25130901,0.111399926,1125.7,1148.642622,128.8,Yes,4.2
42,Magura,Khulna,South,1/3/2023,12/31/2023,362,0,6,5031,,6,,23.44702662,89.43107585,1033115,508940,523988,97.13,837785,195191,23.29845963,0.119260584,1039.1,994.2402079,167.5,Yes,4.9
80,Maulvibazar,Sylhet,North,6/18/2023,12/31/2023,196,0,0,129,,,,24.51884856,91.93391542,2123445,1020312,1102247,92.57,1825607,297096,16.27382016,0,2799.4,758.5357577,196.7,Yes,0.1
46,Meherpur,Khulna,South,6/9/2023,12/31/2023,205,0,1,2176,,1,,23.80012418,88.72115717,705356,340025,365165,93.12,546358,158871,29.07818683,0.045955882,751.6,938.4725918,261.7,Yes,3.1
50,Naogaon,Rajshahi,North,1/19/2023,12/31/2023,346,0,1,740,,1,,24.95494645,88.74591116,2784598,1374312,1408840,97.55,2367082,416243,17.58464641,0.135135135,3435.6,810.5128653,237.1,Yes,0.3
43,Narail,Khulna,South,1/1/2023,12/31/2023,364,0,6,2841,,6,,23.16493036,89.57338098,788673,383380,404814,94.71,613652,174585,28.45016394,0.211193242,968,814.7448347,150.7,Yes,3.6
13,Narayanganj,Dhaka,Both,1/15/2023,12/31/2023,350,0,0,2205,,,,23.7623486,90.60906651,3909138,2015845,1892162,106.54,2324394,1583977,68.14580489,0,684.4,5711.773816,29.4,Yes,0.6
14,Narsingdi,Dhaka,Both,1/10/2023,12/31/2023,355,0,2,4523,,2,,24.04074313,90.76143662,2584452,1265578,1317873,96.03,1939820,643809,33.18911033,0.044218439,1150.1,2247.154161,45.5,Yes,1.8
51,Natore,Rajshahi,North,7/9/2023,12/31/2023,175,0,1,1063,,1,,24.40495592,89.10025672,1859921,919696,939633,97.88,1502917,356528,23.72240117,0.094073377,1900.2,978.8027576,204,Yes,0.6
49,Nawabganj,Rajshahi,North,6/11/2023,12/31/2023,203,0,0,1448,,,,24.7485829,88.25508477,1835527,887057,948165,93.56,1368057,467253,34.15449795,0,1702.5,1078.13627,14.5,Yes,0.8
62,Nilphamari,Rangpur,North,6/11/2023,12/31/2023,203,0,0,770,,,,26.03720716,88.90818604,2092567,1041582,1050499,99.15,1561702,530459,33.96672349,0,1546.6,1353.011121,347.9,Yes,0.4
33,Noakhali,Chittagong,South,1/3/2023,12/31/2023,362,0,6,1985,,6,,22.78160904,91.11356738,3625252,1730561,1893604,91.39,2971904,652459,21.95424213,0.302267003,3685.9,983.5459454,173.2,Yes,0.5
66,Panchagarh,Rangpur,North,7/5/2023,12/31/2023,179,0,0,187,,,,26.27330377,88.62049582,1179843,588888,590750,99.68,989870,189811,19.17534626,0,1404.6,839.9850491,408,Yes,0.2
73,Pirojpur,Barisal,South,1/3/2023,12/31/2023,362,0,12,7361,,12,,22.52848102,90.01221265,1198193,582661,615179,94.71,958641,239253,24.95751799,0.163021329,1277.8,937.699953,215.1,Yes,6.1
15,Rajbari,Dhaka,Both,1/13/2023,12/31/2023,352,0,0,4176,,,,23.73563657,89.59819509,1189821,581907,607499,95.79,1009757,179744,17.80071839,0,1092.3,1089.280417,146.4,Yes,3.5
59,Rangpur,Rangpur,North,1/4/2023,12/31/2023,361,0,5,360,939,1,4,25.67812284,89.26015313,3169615,1568608,1600067,98.03,2137512,1031388,48.25179929,0.38491147,2400.6,1320.342831,296.4,Yes,0.4
39,Satkhira,Khulna,South,5/21/2023,12/31/2023,224,0,10,758,742,1,9,22.46666442,89.12533958,2196581,1093119,1102656,99.14,1764068,431847,24.48017877,0.666666667,3817.3,575.4279203,267.1,Yes,0.7
